Order Date,Region,Customer Segment,Product Category,Units Sold,Unit Price,Revenue,Profit Margin
2021-01-01 0:00:00,East,Small Business,Electronics,9,153.73,1383.57,0.07
2021-01-01 1:00:00,West,Small Business,Electronics,27,289.07,7804.89,0.13
2021-01-01 2:00:00,North,Small Business,Office Supplies,41,491.73,20160.93,0.11
2021-01-01 3:00:00,East,Consumer,Electronics,14,116.57,1631.98,0.11
2021-01-01 4:00:00,East,Small Business,Electronics,45,493.09,22189.05,0.21
2021-01-01 5:00:00,West,Corporate,Electronics,25,360.03,9000.75,0.15
2021-01-01 6:00:00,North,Small Business,Furniture,43,414.78,17835.54,0.09
2021-01-01 7:00:00,North,Corporate,Furniture,44,53.92,2372.48,0.27
2021-01-01 8:00:00,East,Small Business,Furniture,22,157.21,3458.62,0.27
2021-01-01 9:00:00,South,Small Business,Furniture,35,38.29,1340.15,0.27
2021-01-01 10:00:00,East,Corporate,Office Supplies,33,192.06,6337.98,0.15
2021-01-01 11:00:00,East,Small Business,Office Supplies,27,490.83,13252.41,0.06
2021-01-01 12:00:00,East,Small Business,Electronics,40,61.58,2463.2,0.08
2021-01-01 13:00:00,East,Small Business,Office Supplies,26,285.56,7424.56,0.12
2021-01-01 14:00:00,West,Consumer,Furniture,19,12.97,246.43,0.1
2021-01-01 15:00:00,North,Corporate,Electronics,45,359.21,16164.45,0.27
2021-01-01 16:00:00,West,Small Business,Electronics,39,106.62,4158.18,0.3
2021-01-01 17:00:00,West,Corporate,Furniture,45,73.5,3307.5,0.25
2021-01-01 18:00:00,West,Corporate,Furniture,26,175.14,4553.64,0.23
2021-01-01 19:00:00,East,Corporate,Furniture,6,387.81,2326.86,0.2
2021-01-01 20:00:00,South,Small Business,Office Supplies,3,62.24,186.72,0.24
2021-01-01 21:00:00,North,Small Business,Electronics,6,122.62,735.72,0.29
2021-01-01 22:00:00,South,Corporate,Furniture,28,14.15,396.2,0.2
2021-01-01 23:00:00,West,Consumer,Electronics,3,484.52,1453.56,0.09
2021-01-02 0:00:00,West,Corporate,Electronics,13,300.15,3901.95,0.09
2021-01-02 1:00:00,South,Consumer,Office Supplies,13,362.75,4715.75,0.2
2021-01-02 2:00:00,South,Corporate,Electronics,13,329.18,4279.34,0.13
2021-01-02 3:00:00,South,Corporate,Furniture,1,80.74,80.74,0.28
2021-01-02 4:00:00,West,Corporate,Furniture,40,301.52,12060.8,0.2
2021-01-02 5:00:00,West,Small Business,Electronics,37,74.39,2752.43,0.22
2021-01-02 6:00:00,North,Consumer,Electronics,31,206.61,6404.91,0.05
2021-01-02 7:00:00,North,Consumer,Office Supplies,17,288.79,4909.43,0.17
2021-01-02 8:00:00,West,Corporate,Furniture,9,283.85,2554.65,0.16
2021-01-02 9:00:00,South,Small Business,Furniture,45,68.35,3075.75,0.23
2021-01-02 10:00:00,South,Small Business,Electronics,13,26.87,349.31,0.15
2021-01-02 11:00:00,North,Consumer,Electronics,37,401.13,14841.81,0.29
2021-01-02 12:00:00,West,Small Business,Electronics,14,365.7,5119.8,0.22
2021-01-02 13:00:00,North,Consumer,Furniture,11,50.09,550.99,0.21
2021-01-02 14:00:00,North,Consumer,Electronics,25,72.43,1810.75,0.28
2021-01-02 15:00:00,East,Consumer,Office Supplies,31,447.37,13868.47,0.3
2021-01-02 16:00:00,East,Small Business,Office Supplies,14,386.87,5416.18,0.1
2021-01-02 17:00:00,East,Consumer,Electronics,7,498.12,3486.84,0.25
2021-01-02 18:00:00,South,Consumer,Office Supplies,24,134.45,3226.8,0.09
2021-01-02 19:00:00,West,Corporate,Office Supplies,49,249.02,12201.98,0.16
2021-01-02 20:00:00,West,Consumer,Office Supplies,36,125.87,4531.32,0.08
2021-01-02 21:00:00,West,Consumer,Office Supplies,42,315.17,13237.14,0.21
2021-01-02 22:00:00,West,Corporate,Office Supplies,42,66.55,2795.1,0.17
2021-01-02 23:00:00,East,Corporate,Furniture,47,72.35,3400.45,0.21
2021-01-03 0:00:00,South,Small Business,Electronics,44,45.23,1990.12,0.22
2021-01-03 1:00:00,South,Consumer,Office Supplies,41,349.86,14344.26,0.2
2021-01-03 2:00:00,East,Small Business,Electronics,3,252.1,756.3,0.12
2021-01-03 3:00:00,South,Small Business,Office Supplies,47,312.69,14696.43,0.26
2021-01-03 4:00:00,East,Corporate,Furniture,44,440.86,19397.84,0.19
2021-01-03 5:00:00,West,Small Business,Furniture,26,372.76,9691.76,0.17
2021-01-03 6:00:00,East,Consumer,Office Supplies,47,236.24,11103.28,0.3
2021-01-03 7:00:00,West,Corporate,Office Supplies,26,492.33,12800.58,0.12
2021-01-03 8:00:00,West,Consumer,Office Supplies,1,233.57,233.57,0.18
2021-01-03 9:00:00,North,Consumer,Furniture,15,65.1,976.5,0.22
2021-01-03 10:00:00,East,Corporate,Furniture,11,496.4,5460.4,0.08
2021-01-03 11:00:00,North,Consumer,Electronics,37,21.18,783.66,0.14
2021-01-03 12:00:00,East,Corporate,Furniture,7,279.44,1956.08,0.25
2021-01-03 13:00:00,East,Consumer,Office Supplies,12,161.46,1937.52,0.11
2021-01-03 14:00:00,North,Corporate,Electronics,38,256.74,9756.12,0.17
2021-01-03 15:00:00,North,Small Business,Furniture,3,283.77,851.31,0.21
2021-01-03 16:00:00,East,Consumer,Furniture,42,127.65,5361.3,0.22
2021-01-03 17:00:00,South,Corporate,Office Supplies,26,282.86,7354.36,0.23
2021-01-03 18:00:00,West,Consumer,Electronics,30,380.47,11414.1,0.27
2021-01-03 19:00:00,North,Consumer,Furniture,32,140.59,4498.88,0.15
2021-01-03 20:00:00,West,Consumer,Furniture,36,197.88,7123.68,0.23
2021-01-03 21:00:00,South,Corporate,Office Supplies,45,141.44,6364.8,0.23
2021-01-03 22:00:00,South,Small Business,Electronics,37,412.07,15246.59,0.13
2021-01-03 23:00:00,South,Small Business,Electronics,18,365.24,6574.32,0.29
2021-01-04 0:00:00,North,Small Business,Electronics,1,436.89,436.89,0.27
2021-01-04 1:00:00,South,Corporate,Electronics,21,93.32,1959.72,0.12
2021-01-04 2:00:00,North,Small Business,Office Supplies,28,46.05,1289.4,0.22
2021-01-04 3:00:00,South,Corporate,Furniture,48,68.5,3288,0.23
2021-01-04 4:00:00,West,Consumer,Furniture,16,88.9,1422.4,0.16
2021-01-04 5:00:00,West,Consumer,Electronics,48,271.21,13018.08,0.27
2021-01-04 6:00:00,East,Small Business,Electronics,28,485.75,13601,0.22
2021-01-04 7:00:00,West,Corporate,Electronics,22,185.05,4071.1,0.21
2021-01-04 8:00:00,East,Consumer,Furniture,19,479.67,9113.73,0.11
2021-01-04 9:00:00,West,Corporate,Furniture,48,28.72,1378.56,0.15
